N,variant,threads,time_ms,gflops,ok
256,naive,-1,22.302,1.50,1
256,jpi,-1,1.707,19.66,1
256,blocked,-1,1.722,19.49,1
256,packed_ic,-1,0.945,35.50,1
256,packed_jc,-1,0.705,47.59,1
256,openblas,-1,0.513,65.45,1
512,naive,-1,293.788,0.91,1
512,jpi,-1,23.950,11.21,1
512,blocked,-1,16.880,15.90,1
512,packed_ic,-1,6.689,40.13,1
512,packed_jc,-1,6.236,43.05,1
512,openblas,-1,3.678,72.98,1
1024,naive,-1,6438.758,0.33,1
1024,jpi,-1,214.891,9.99,1
1024,blocked,-1,159.374,13.47,1
1024,packed_ic,-1,45.041,47.68,1
1024,packed_jc,-1,44.030,48.77,1
1024,openblas,-1,27.463,78.20,1
2048,packed_ic,-1,386.370,44.46,1
2048,packed_jc,-1,383.703,44.77,1
2048,openblas,-1,220.999,77.74,1
4096,packed_ic,-1,3409.761,40.31,1
4096,packed_jc,-1,3247.342,42.32,1
4096,openblas,-1,1790.514,76.76,1
